id	施設名	0歳	1歳	2歳	3歳	4歳	5歳
1	北保育所	20	21	25	14	4	3
2	東保育所	35	55	17	27	4	1
3	西保育所	39	52	24	8	3	3
4	中央保育所	19	31	21	16	4	1
5	北山保育所	8	15	13	6	1	1
6	住吉保育所	29	34	22	9	3	0
7	小柳保育所	17	30	3	27	0	0
8	八幡保育所	20	19	2	25	0	0
9	本町保育所	19	46	14	29	2	1
10	三本木保育所	48	59	38	28	4	1
11	美好保育所	39	48	25	12	3	1
12	府中愛児園	55	86	10	37	3	0
13	南分倍保育園	17	24	11	31	3	1
14	髙安寺保育園	49	73	31	43	10	1
15	千春保育園	9	12	17	4	0	1
16	是政保育園	35	18	3	5	1	0
17	晴見保育園	25	41	26	17	1	1
18	押立保育園	37	72	16	35	3	1
19	府中保育園	-	66	20	13	5	2
20	にじのいろ保育園	23	13	2	5	0	0
21	山手保育園	22	41	4	-	-	-
22	さくらんぼ保育園	24	36	16	17	2	0
23	押立第二保育園	33	65	12	20	2	1
24	わらしこ保育園	16	27	8	19	2	0
25	第２府中保育園	9	17	13	9	0	1
26	府中めぐみ保育園	55	74	14	-	-	-
27	キッズエイド武蔵保育園	13	29	5	11	2	0
28	山手保育園清水が丘分園	15	17	1	-	-	-
29	やまびこ保育園	6	8	6	1	3	0
30	キッズランド府中保育園	28	30	18	7	0	0
31	府中保育園分園	29	27	-	-	-	-
32	キッズルームこっこ保育園	21	58	5	12	1	0
33	府中中河原雲母保育園	24	20	14	4	2	0
34	めぐみ第二保育園	20	19	28	15	3	3
35	西府の森保育園	-	59	21	9	4	2
36	わらしこ第２保育園	19	27	11	18	2	0
37	山手こひつじ保育園	27	65	13	27	3	0
38	白糸さくらんぼ保育園	21	35	12	17	3	0
39	分倍保育園	30	45	21	13	4	1
40	光明高倉保育園	46	98	27	34	3	1
41	まなびの森保育園中河原	30	48	26	11	1	0
42	明桜保育園	11	23	10	9	1	0
43	そよかぜハーモニー保育園	22	45	4	7	0	0
44	よつば保育園	48	58	38	21	1	1
45	第２キッズランド府中保育園	50	60	30	24	3	0
46	光明府中南保育園	22	60	5	-	-	-
47	アスク府中本町保育園	26	52	16	33	2	1
48	太陽の子清水が丘三丁目保育園	34	54	5	17	2	0
49	ラフ・クルー分倍河原保育園	43	63	15	10	2	2
50	ラフ・クルー分倍河原保育園分園	37	48	11	-	-	-
51	このめ保育園	67	100	37	30	4	0
52	アスク府中片町保育園	41	82	29	36	2	0
53	ふちしらコスモ保育園	21	52	7	27	1	1
54	トレジャーキッズぶばい保育園	42	62	25	13	2	1
55	まなびの森保育園東府中	45	99	22	26	1	0
56	まなびの森保育園府中	70	85	42	36	4	0
57	ソラスト府中保育園	24	49	2	12	0	2
58	ヴィラまなびの森保育園住吉町	29	47	19	15	2	0
59	府中緑町・学びの保育園	38	58	19	29	0	0
60	ひよこっこはちまん	0	2	0	-	-	-
61	ひよこっこわかまつ	2	5	2	-	-	-
62	ねぎし保育園	7	9	6	-	-	-
