id	施設名	0歳	1歳	2歳	3歳	4歳	5歳
1	北保育所	0	0	0	0	0	1
2	東保育所	0	0	0	0	0	6
3	西保育所	0	0	0	0	5	9
4	中央保育所	0	0	0	2	0	3
5	北山保育所	0	0	0	2	0	3
6	住吉保育所	0	0	3	0	3	7
7	小柳保育所	0	0	0	0	7	5
8	八幡保育所	1	0	0	0	1	11
9	本町保育所	0	0	0	3	1	5
10	三本木保育所	0	0	0	0	0	2
11	美好保育所	0	0	0	2	10	18
12	府中愛児園	12	6	0	0	0	6
13	南分倍保育園	0	0	0	1	2	4
14	髙安寺保育園	0	0	0	0	4	6
15	千春保育園	5	1	8	2	8	16
16	是政保育園	7	0	0	0	0	0
17	晴見保育園	0	0	0	0	0	1
18	押立保育園	1	0	0	0	0	0
19	府中保育園	-	0	0	0	2	0
20	にじのいろ保育園	3	0	0	0	0	2
21	山手保育園	8	0	0	-	-	-
22	さくらんぼ保育園	0	0	0	0	1	0
23	押立第二保育園	0	0	0	0	0	2
24	わらしこ保育園	2	0	1	3	0	2
25	第２府中保育園	0	0	1	0	0	0
26	府中めぐみ保育園	0	1	0	-	-	-
27	キッズエイド武蔵保育園	2	1	0	0	0	3
28	山手保育園清水が丘分園	3	0	0	-	-	-
29	やまびこ保育園	4	1	0	1	1	0
30	キッズランド府中保育園	0	0	0	0	0	0
31	府中保育園分園	0	0	-	-	-	-
32	キッズルームこっこ保育園	0	0	0	1	0	0
33	府中中河原雲母保育園	0	0	0	0	0	0
34	めぐみ第二保育園	0	0	0	0	0	0
35	西府の森保育園	-	0	0	0	0	0
36	わらしこ第２保育園	5	1	0	0	0	3
37	山手こひつじ保育園	0	0	0	0	0	1
38	白糸さくらんぼ保育園	3	0	0	4	0	0
39	分倍保育園	0	0	0	5	2	1
40	光明高倉保育園	0	0	0	0	0	4
41	まなびの森保育園中河原	0	0	0	0	0	0
42	明桜保育園	0	0	1	0	0	4
43	そよかぜハーモニー保育園	0	0	0	0	0	2
44	よつば保育園	0	0	0	0	0	0
45	第２キッズランド府中保育園	0	0	0	0	0	0
46	光明府中南保育園	0	2	0	-	-	-
47	アスク府中本町保育園	0	0	0	0	0	0
48	太陽の子清水が丘三丁目保育園	0	0	0	0	0	3
49	ラフ・クルー分倍河原保育園	0	0	0	2	4	1
50	ラフ・クルー分倍河原保育園分園	0	0	0	-	-	-
51	このめ保育園	0	0	0	0	0	0
52	アスク府中片町保育園	0	0	0	0	0	0
53	ふちしらコスモ保育園	2	1	0	5	1	5
54	トレジャーキッズぶばい保育園	0	0	0	0	0	4
55	まなびの森保育園東府中	0	0	0	0	0	1
56	まなびの森保育園府中	0	0	0	0	0	0
57	ソラスト府中保育園	0	0	0	0	0	2
58	ヴィラまなびの森保育園住吉町	0	0	0	0	0	1
59	府中緑町・学びの保育園	0	0	0	0	0	1
60	ひよこっこはちまん	0	0	0	-	-	-
61	ひよこっこわかまつ	2	0	0	-	-	-
62	ねぎし保育園	2	0	0	-	-	-
